s1-tip-p8-r1 tree=art:dc7c1488f075b35e9a6472f0eb273ec4b1ebaa53b88d41144a6a77b4134771fd result=art:7775888d1ece413d81e65cb3d2c47d9d626eadca7aa2412d21f0f587c36e0167
s1-tip-p8-r2 tree=art:a06b309c65c34f50202094d973274a5119dd7ee84d0a5eea0fc0b4078fb50792 result=art:1523b35cfb4b768c37116966ccd08b2956db41d203240768a591adaf4fee0590
s1-tip-p8-r3 tree=art:92f25bb96cc9ecc22294e746cc01f8d519c2512b98d33cbf63045b56831bec59 result=art:021aeabba7b8eb515963745ea44f0ef9a06738961bbe43ea7e83cfbd347c29fa
s1-base-p8-r2 tree=none result=art:ed45196e9d82903b3eaab360f64132402c0159cb5c7201267a2a3c8ea3a39181
s1-base-p8-r3 tree=none result=art:42d37c743b1536da5759f2a2f64da7df3f88c3c6975313b28f39ef114f448766
s5-tip-p8-r1 tree=art:feb4501f9d9b63267341382dec42421f1fe59d01c7f40b5b9f797e9667f815ca result=art:def461c79d1ad612cc21285f13738b00520fd2f720fbe2fe172e4750eef06b7e
s5-tip-p8-r2 tree=art:de52d5ffc971f11877be7491eb7f5e66cb4eb950dfa4c3adc7231a0de9a36f24 result=art:bb75ba4f68dcf0a27733243eda903082067903c650173f054894056e06fd38db
s5-tip-p8-r3 tree=art:ef4ca3251d49085fb37641bf4187ac189ce14aa49f86581e79d117066cc741bc result=art:d2b01b3f50f5be46537617b9d01772e3321ae03df0838ea50b08a63a7de60e5d
s5-tip-p8-r4 tree=art:84f9c149aeb07e9895e855c6f96cb1c5149ded6ecf6cd0df8cb83f1969874d90 result=art:f3978133309e10fce1d78fc879f4e9825b02e0d7c389aab15087a89efb106a40
s5-s3-p8-r1 tree=none result=art:bf963bc626462f51e30746b91c4f2e5f42bd47929e9e10f1baf0eaeaac02363c
s5-s3-p8-r2 tree=none result=art:0c9c7c721f90199298de91391807e61bbc1e5148ca1671669d108f0161602748
s5-s3-p8-r3 tree=none result=art:5fff3060b0b0dd689e7f65615f2f4f2cda1ceda36ba19e67cc83b61004b0a4dc
