sub_00.proof: ACCEPT (accept (interactive: coins are this verifier's step-0 coins)) 0.230s  python=true (accept (0.021s))
sub_01.proof: ACCEPT (accept (interactive: coins are this verifier's step-0 coins)) 0.217s  python=true (accept (0.018s))
sub_02.proof: ACCEPT (accept (interactive: coins are this verifier's step-0 coins)) 0.230s  python=true (accept (0.018s))
sub_03.proof: ACCEPT (accept (interactive: coins are this verifier's step-0 coins)) 0.226s  python=true (accept (0.018s))
sub_04.proof: ACCEPT (accept (interactive: coins are this verifier's step-0 coins)) 0.221s  python=true (accept (0.018s))
sub_05.proof: ACCEPT (accept (interactive: coins are this verifier's step-0 coins)) 0.218s  python=true (accept (0.018s))
sub_06.proof: ACCEPT (accept (interactive: coins are this verifier's step-0 coins)) 0.224s  python=true (accept (0.018s))
sub_07.proof: ACCEPT (accept (interactive: coins are this verifier's step-0 coins)) 0.220s  python=true (accept (0.018s))
sub_08.proof: ACCEPT (accept (interactive: coins are this verifier's step-0 coins)) 0.228s  python=true (accept (0.018s))
sub_09.proof: ACCEPT (accept (interactive: coins are this verifier's step-0 coins)) 0.224s  python=true (accept (0.018s))
sub_10.proof: ACCEPT (accept (interactive: coins are this verifier's step-0 coins)) 0.217s  python=true (accept (0.018s))
sub_11.proof: ACCEPT (accept (interactive: coins are this verifier's step-0 coins)) 0.232s  python=true (accept (0.019s))
sub_12.proof: ACCEPT (accept (interactive: coins are this verifier's step-0 coins)) 0.220s  python=true (accept (0.018s))
13 proofs: 13 accepted, 0 rejected (13 against their own coins); batch ACCEPT (accept: all 13 sub-batches accepted; union bound 2^-128.32 <= 2^-128); batch bits 128.319381 at target 128; system pinned (fp8-ada); python agreement 13/13 (0 disagree); verify sum 2.906s, wall 0.240s at 13 jobs x 1 threads
