F check/test_gates_fixtures.py::test_card_json_roundtrip_and_schema | FileNotFoundError: [Errno 2] No such file or directory: '/workspace/base/integrations/vllm/out/gen/cards/SCHEMA.md'
F program/test_derive.py::test_s3_untied_lm_head_loses_sharing_and_is_refused_by_family | AssertionError: assert 7158595 > 7158595  +  where 7158595 = <verity.ir.program.Program object at 0x74e5c6b81b20>.input_gates  +    where <verity.ir.program.Pro
F program/test_ref_prims.py::test_gelu_ref_vs_torch[none-bf16] | AssertionError: {'words': 65280, 'exact_words': 64620, 'exact_fraction': 0.9898897058823529, 'max_ulp': 128, ...} assert inf <= 1.0
F program/test_ref_prims.py::test_gelu_ref_vs_torch[none-f32] | AssertionError: {'words': 65552, 'exact_words': 44502, 'exact_fraction': 0.6788808884549671, 'max_ulp': 875646710, ...} assert nan <= 1.0
F observe/test_gen_dense2.py::test_inv_freq_models_cuda_reciprocal_multiply_and_is_identity_for_power_of_two_D | AssertionError: [0, 0, 0, 0, 0, -1, ...] assert (np.int64(15) == 14)  +  where np.int64(15) = <built-in method sum of numpy.ndarray object at 0x723786273db0>() 
F observe/test_gen_ov_sampling.py::test_b1_workloads_load_to_the_intended_sampling | NameError: name 'execution_of_workload' is not defined
F observe/test_gen_ov_sampling.py::test_mixed_batch_per_request_variant | NameError: name 'execution_of_workload' is not defined
F observe/test_patterns_synthetic.py::test_gumbel_two_stage_sampler_is_one_token_select | AssertionError: assert ([Unsupported(event_id=2037, op='vllm.v1.worker.gpu.sample.gumbel._gumbel_sample_kernel', reason='sampler logits are no...x width is not 
F program/test_artifact_applicability_independent.py::test_v_program_digest_unchanged_by_the_patch | AssertionError: base build refused/crashed (rc=1):          Traceback (most recent call last):     File "/tmp/pytest-of-root/pytest-3/popen-gw3/cbtest0/base/dri
F program/test_artifact_applicability_independent.py::test_i_a_base_manifest_declares_the_capability_the_shim_applied | AssertionError: base manifest declared capabilities set() (expected exactly {'8.9'}) assert set() == {'8.9'}      Extra items in the right set:   '8.9'   Use -v
F program/test_artifact_applicability_independent.py::test_i_b_mutating_the_applied_capability_changes_the_manifest[verity_vllm/program/frontend/target_profile.py] | AssertionError: mutation of verity_vllm/program/frontend/target_profile.py touched nothing: [] assert []  +  where [] = Build(name='cap90_site__verity_vllm__pro
F program/test_artifact_applicability_independent.py::test_i_c_artifact_identity_distinguishes_targets_even_when_digests_are_equal | AssertionError: base artefact carries NO artifact/cache identity (files: []; manifest keys: []) assert None is not None
F program/test_artifact_applicability_independent.py::test_i_d_host_answering_another_capability_than_declared | AssertionError: host_says_90_profile_89: refusal does not name the field /capab|flash_attn_version|target profile mismatch/:     assert None  +  where None = <f
F program/test_artifact_applicability_independent.py::test_ii_a_capability_9_0_declared_consistently | AssertionError: cap90_consistent: refusal does not name the field /flash_attn_version|capab/:     assert None  +  where None = <function search at 0x702212ae620
F program/test_artifact_applicability_independent.py::test_ii_b_target_8_0_with_108_sms_declared_consistently | AssertionError: [] assert []  +  where [] = Build(name='cap80_sms108_consistent', tree=PosixPath('/tmp/pytest-of-root/pytest-3/popen-gw3/cbtest0/cap80_sms108_co
F program/test_artifact_applicability_independent.py::test_ii_c_num_sms_repinned_132_consistently | AssertionError: [] assert []  +  where [] = Build(name='sms132_pin', tree=PosixPath('/tmp/pytest-of-root/pytest-3/popen-gw3/cbtest0/sms132_pin/tree'), out=Posix
F program/test_artifact_applicability_independent.py::test_iii_two_hosts_same_profile_same_identity | AssertionError: ('   ', '   ') assert (False)  +  where False = Build(name='base', tree=PosixPath('/tmp/pytest-of-root/pytest-3/popen-gw3/cbtest0/base/tree'), o
F program/test_artifact_applicability_independent.py::test_iii_identity_excludes_host_facts | assert None is not None
F program/test_artifact_applicability_independent.py::test_iv_reuse_under_mismatched_profile_is_rejected | AssertionError: assert False  +  where False = Build(name='base', tree=PosixPath('/tmp/pytest-of-root/pytest-3/popen-gw3/cbtest0/base/tree'), out=PosixPath('/tm
F program/test_artifact_applicability_independent.py::test_iv_reuse_under_mismatched_applicability_is_rejected | AssertionError: untestable: no TargetProfile: ModuleNotFoundError("No module named 'verity'") assert None is not None
F program/test_artifact_applicability_independent.py::test_iv_tampered_wrapper_is_rejected[target_profile.compute_capability-value0-requester0] | AssertionError: assert None is not None  +  where None = identity_of(Build(name='base', tree=PosixPath('/tmp/pytest-of-root/pytest-3/popen-gw3/cbtest0/base/tree
F program/test_artifact_applicability_independent.py::test_iv_tampered_wrapper_is_rejected[<program digest>-ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff-requester1] | AssertionError: assert None is not None  +  where None = identity_of(Build(name='base', tree=PosixPath('/tmp/pytest-of-root/pytest-3/popen-gw3/cbtest0/base/tree
F program/test_artifact_applicability_independent.py::test_iv_tampered_wrapper_is_rejected[applicability.vllm_flash_attn_version-value2-requester2] | AssertionError: assert None is not None  +  where None = identity_of(Build(name='base', tree=PosixPath('/tmp/pytest-of-root/pytest-3/popen-gw3/cbtest0/base/tree
F program/test_artifact_applicability_independent.py::test_iii_identity_is_recomputable_from_its_published_definition | AssertionError: no wrapper with an 'identity' field in [] assert []
F program/test_artifact_applicability_independent.py::test_iii_manifest_and_wrapper_agree_on_the_identity | AssertionError: no identity value found in manifest or wrapper assert set()
F program/test_artifact_applicability_independent.py::test_iv_reuse_under_the_matching_profile_is_accepted | assert None is not None
F program/test_artifact_applicability_independent.py::test_vi_dead_env_var_is_not_recorded_as_a_declared_fact | AssertionError: ('   ', None) assert (False)  +  where False = Build(name='attn_env_dead', tree=PosixPath('/tmp/pytest-of-root/pytest-3/popen-gw3/cbtest0/attn_e
F harness/test_source_identity.py::test_precheck_passes_with_matching_veritor_repo_and_sha[repo] | assert None
